Name,Number of Births,,
Timothy,31,,
Amelie,30,,
Nadia,30,,
Donal,30,,
Kieran,30,,
Rowan,30,,
Ruben,30,,
Ted,30,,
Tristan,30,,
Alyssa,29,,
Skye,29,,
Alexa,29,,
Darcie,29,,
Harley,29,,
Keelan,29,,
Lukas,29,,
Marcus,29,,
Simon,29,,
Jade,28,,
Beth,28,,
Conan,28,,
Flynn,28,,
Marcel,28,,
Paidi,28,,
Wiktor,28,,
Will,28,,
Zac,28,,
Zachary,28,,
Catherine,27,,
Naomi,27,,
Carla,27,,
Faith,27,,
Caragh,27,,
Helena,27,,
Thea,27,,
Elodie,27,,
Darren,27,,
Dean,27,,
Gavin,27,,
Gerard,27,,
Theodore,27,,
Alex,26,,
Maggie,26,,
Summer,26,,
Hailey,26,,
Indie,26,,
Aiden,26,,
Austin,26,,
Cameron,26,,
Victor,26,,
Taylor,25,,
Alisha,25,,
Lana,25,,
Riley,25,,
Aleksander,25,,
Calum,25,,
Jesse,25,,
Jordan,25,,
Myles,25,,
Owen,25,,
Gabriela,24,,
Maebh,24,,
Gracie,24,,
Pola,24,,
Aodhan,24,,
Cole,24,,
Dawid,24,,
Fabian,24,,
Pearse,24,,
Jodie,23,,
Claire,23,,
Cassie,23,,
Una,23,,
Savannah,23,,
Ayla,23,,
Nancy,23,,
Callie,23,,
Lottie,23,,
Damian,23,,
Dan,23,,
Robin,23,,
Shannon,22,,
Michelle,22,,
Vanessa,22,,
Wiktoria,22,,
Kathleen,22,,
Riona,22,,
Lydia,22,,
Kara,22,,
Stella,22,,
Eloise,22,,
Arya,22,,
Arlo,22,,
Hunter,22,,
Julian,22,,
Lochlann,22,,
Mikolaj,22,,
Kaitlyn,21,,
Aaliyah,21,,
Ana,21,,
Roise,21,,
Penelope,21,,
Maci,21,,
Priya,21,,
Siomha,21,,
Cayden,21,,
Ezra,21,,
Jay,21,,
Naoise,21,,
Natan,21,,
Nicolas,21,,
Parker,21,,
Teddy,21,,
Abby,20,,
Louise,20,,
Emer,20,,
Fatima,20,,
Juliet,20,,
Lexie,20,,
Allie,20,,
Rosa,20,,
Robin,20,,
Lillian,20,,
Maddie,20,,
Ali,20,,
Brandon,20,,
Brendan,20,,
Declan,20,,
Felix,20,,
Frederick,20,,
Milo,20,,
Ruadhan,20,,
Toby,20,,
Aideen,19,,
Natalie,19,,
Lia,19,,
Neasa,19,,
Annabel,19,,
Nell,19,,
Klara,19,,
Bruno,19,,
Elias,19,,
Jayce,19,,
Levi,19,,
Louie,19,,
Nikodem,19,,
Patryk,19,,
Szymon,19,,
Vincent,19,,
Grainne,18,,
Oliwia,18,,
Sorcha,18,,
Tori,18,,
Ali,18,,
Siobhan,18,,
Casey,18,,
Sasha,18,,
Helen,18,,
Lea,18,,
Kyra,18,,
Leila,18,,
Cadhla,18,,
Mae,18,,
Annalise,18,,
Saibh,18,,
Alexis,18,,
Eden,18,,
Edith,18,,
Bradley,18,,
Dawson,18,,
Francis,18,,
Ibrahim,18,,
Johnny,18,,
Lachlan,18,,
Michal,18,,
Olly,18,,
Xavier,18,,
Gemma,17,,
Erica,17,,
Rhea,17,,
Ria,17,,
Nessa,17,,
Aisha,17,,
Aoibh,17,,
Scarlett,17,,
Arianna,17,,
Anastasia,17,,
Darcey,17,,
Gabriella,17,,
Hallie,17,,
Emmie,17,,
Tilly,17,,
Dillon,17,,
Donnchadh,17,,
Feidhlim,17,,
Fiachra,17,,
Lennon,17,,
Matas,17,,
Mateo,17,,
Maxim,17,,
Noel,17,,
Padraic,17,,
Tymon,17,,
Fiona,16,,
Nicola,16,,
Andrea,16,,
Gabrielle,16,,
Moya,16,,
Aleksandra,16,,
Martha,16,,
Beibhinn,16,,
Charlie,16,,
Pearl,16,,
Farrah,16,,
Luna,16,,
Nevaeh,16,,
Frankie,16,,
Art,16,,
Carson,16,,
Colin,16,,
Connor,16,,
Davin,16,,
Eamonn,16,,
Emmet,16,,
Faolan,16,,
Lochlan,16,,
Maksymilian,16,,
Mateusz,16,,
Mohammad,16,,
Ruan,16,,
Sean Og,16,,
Tobias,16,,
Heather,15,,
Kelsey,15,,
Karolina,15,,
Teagan,15,,
Carly,15,,
Ally,15,,
Sadbh,15,,
Edie,15,,
Lyla,15,,
Maryam,15,,
Eliana,15,,
Mackenzie,15,,
Arabella,15,,
Maisy,15,,
Andy,15,,
Aron,15,,
Conn,15,,
Culann,15,,
Grayson,15,,
Jaxson,15,,
Joel,15,,
Matei,15,,
Mikey,15,,
Mohammed,15,,
Nathaniel,15,,
Olivier,15,,
Omar,15,,
Quinn,15,,
Stefan,15,,
Melissa,14,,
Libby,14,,
Katherine,14,,
Nikola,14,,
Diana,14,,
Tia,14,,
Daria,14,,
Melanie,14,,
Beatrice,14,,
Emilie,14,,
Imogen,14,,
Madeline,14,,
Bianca,14,,
Hana,14,,
Livia,14,,
Antonia,14,,
Aurora,14,,
Juno,14,,
Skylar,14,,
Abdullah,14,,
Ahmed,14,,
Bernard,14,,
Caden,14,,
Erik,14,,
Euan,14,,
Ewan,14,,
Hayden,14,,
Ivan,14,,
Jimmy,14,,
Jonas,14,,
Justin,14,,
Marc,14,,
Oliwier,14,,
Piotr,14,,
Steven,14,,
Keelin,13,,
Martyna,13,,
Claudia,13,,
Cliona,13,,
Patricia,13,,
Joanna,13,,
Bethany,13,,
Blaithin,13,,
Esther,13,,
Tessa,13,,
Francesca,13,,
Louisa,13,,
Nia,13,,
Ema,13,,
Teresa,13,,
Connie,13,,
Saorla,13,,
Aileen,13,,
Kornelia,13,,
Izabela,13,,
Maddison,13,,
Croiadh,13,,
Nela,13,,
Piper,13,,
Albert,13,,
