Name,Number of Births,,
Yousef,4,,
Zane,4,,
Natasha,3,,
Kellie,3,,
Shania,3,,
Mischa,3,,
Pia,3,,
Kathryn,3,,
Rebekah,3,,
Caoilainn,3,,
Aibhe,3,,
Kiara,3,,
Maire,3,,
Leonie,3,,
Teegan,3,,
Christine,3,,
Kendra,3,,
Aoise,3,,
Cynthia,3,,
Denisa,3,,
Elizabete,3,,
Kimberley,3,,
Lili,3,,
Marissa,3,,
Shayna,3,,
Sofie,3,,
Yvonne,3,,
Aleisha,3,,
Anita,3,,
Anya,3,,
Ashlyn,3,,
Camelia,3,,
Carolina,3,,
Dervla,3,,
Destiny,3,,
Dora,3,,
Eilidh,3,,
Emelie,3,,
Emmanuella,3,,
Gwen,3,,
Irene,3,,
Maud,3,,
Tatiana,3,,
Yu,3,,
Adrianna,3,,
Ailise,3,,
Annabell,3,,
Annmarie,3,,
Auguste,3,,
Cody,3,,
Elva,3,,
Evangeline,3,,
Evanna,3,,
Honey,3,,
Kallie,3,,
Lavinia,3,,
Liadan,3,,
Lidia,3,,
Lily May,3,,
Luiza,3,,
Marianne,3,,
Adela,3,,
Adelaide,3,,
Agatha,3,,
Aiza,3,,
Amirah,3,,
Aniela,3,,
Anu,3,,
Cianna,3,,
Dorothy,3,,
Ela,3,,
Eliska,3,,
Ella-Mae,3,,
Ellie May,3,,
Ellie-Mae,3,,
Emme,3,,
Eshaal,3,,
Feile,3,,
Guste,3,,
Haylee,3,,
Inaaya,3,,
Inaya,3,,
Ines,3,,
Jocelyn,3,,
Kalina,3,,
Karlie,3,,
Katie-Ann,3,,
Luisa,3,,
Macey,3,,
Migle,3,,
Moira,3,,
Molly-Mae,3,,
Noinin,3,,
Quin,3,,
Riah,3,,
Roberta,3,,
Ryleigh,3,,
Saskia,3,,
Saule,3,,
Siena,3,,
Sydney,3,,
Tierna,3,,
Tina,3,,
Tola,3,,
Yana,3,,
Zoja,3,,
Aibhilin,3,,
Alya,3,,
Alyssia,3,,
Amelia-Lily,3,,
Aminah,3,,
Anastacia,3,,
Anna Rose,3,,
Annabella,3,,
Blair,3,,
Bridin,3,,
Brogan,3,,
Bushra,3,,
Ciana,3,,
Cici,3,,
Crea,3,,
Daisy-mae,3,,
Dania,3,,
Danni,3,,
Doroteja,3,,
Emie,3,,
Emilee,3,,
Esmay,3,,
Fleur,3,,
Flora,3,,
Halima,3,,
Hira,3,,
Ida,3,,
Ilinca,3,,
Jaida,3,,
Jules,3,,
June,3,,
Kassie,3,,
Keila,3,,
Krystal,3,,
Lacey-Mae,3,,
Laurie,3,,
Lexi-Mae,3,,
Lilien,3,,
Lilyana,3,,
Linnea,3,,
Luciana,3,,
Lucille,3,,
Lynn,3,,
Maedhbh,3,,
Manha,3,,
Margarita,3,,
Marni,3,,
Mary-Jane,3,,
Marykate,3,,
Meadbh,3,,
Melani,3,,
Meta,3,,
Milita,3,,
Minha,3,,
Myla,3,,
Neela,3,,
Nellie,3,,
Noreen,3,,
Ornaith,3,,
Pauline,3,,
Phoenix,3,,
Poppie,3,,
Radha,3,,
Rahela,3,,
Rayna,3,,
Remy,3,,
Riadh,3,,
Rionagh,3,,
Rosaleen,3,,
Rosha,3,,
Shelly,3,,
Tilda,3,,
Tillie,3,,
Trudie,3,,
Zi,3,,
Noa,3,,
Faela,3,,
Ellie mae,3,,
Nainsi,3,,
Eabhaoin,3,,
Lora,3,,
Zelda,3,,
Aizah,3,,
Bella Rose,3,,
Dominyka,3,,
Effie,3,,
Elara,3,,
Faya,3,,
Hamna,3,,
Harlee,3,,
Hoorain,3,,
Juniper,3,,
Kiaya,3,,
Lacey-May,3,,
Madara,3,,
Molly-Mai,3,,
Paisley,3,,
Penni,3,,
Rea,3,,
Sam,3,,
Tea,3,,
Tosia,3,,
Aahil,3,,
Aarav,3,,
Adas,3,,
Ailbe,3,,
Alby,3,,
Alec,3,,
Alistair,3,,
Ambrose,3,,
Anas,3,,
Ardan,3,,
Arkadiusz,3,,
Arman,3,,
Arnold,3,,
Arran,3,,
Ashley,3,,
Augustas,3,,
Augustine,3,,
Ayden,3,,
Bailey,3,,
Beniamin,3,,
Benny,3,,
Bentley,3,,
Bernie,3,,
Blaise,3,,
Buddy,3,,
Byron,3,,
Caedan,3,,
Caimin,3,,
Cain,3,,
Callen,3,,
Carlos,3,,
Caspar,3,,
Chad,3,,
Charley,3,,
Chulainn,3,,
Clive,3,,
Coby,3,,
Colby,3,,
Connla,3,,
Conrad,3,,
Cory,3,,
Cuinn,3,,
Curtis,3,,
Dale,3,,
Damir,3,,
Damon,3,,
Danas,3,,
Daniels,3,,
Davidas,3,,
Dwayne,3,,
Edgar,3,,
Einoras,3,,
Elisei,3,,
Ely,3,,
Elyas,3,,
Emilio,3,,
Emils,3,,
Emir,3,,
Enda,3,,
Enoch,3,,
Eryk,3,,
Evin,3,,
Eyad,3,,
Faustas,3,,
Fergus,3,,
Finlay,3,,
Finnan,3,,
Finnian,3,,
Francie,3,,
Fredrick,3,,
Georgie,3,,
Gordon,3,,
Gregory,3,,
Gus,3,,
Gustavs,3,,
Guy,3,,
Harlow,3,,
Harris,3,,
Haydn,3,,
Hendrix,3,,
Henri,3,,
Hussein,3,,
Iarfhlaith,3,,
Ibraheem,3,,
Iosif,3,,
Ivo,3,,
Jaylen,3,,
Jeff,3,,
Jensen,3,,
Jerome,3,,
Jett,3,,
Johan,3,,
John Paul,3,,
Jolan,3,,
Joris,3,,
Kade,3,,
Kailum,3,,
Kallum,3,,
Karim,3,,
Karter,3,,
Kasper,3,,
Keane,3,,
Kelan,3,,
Kennedy,3,,
Kingsley,3,,
Kobe,3,,
Koby,3,,
Kristopher,3,,
Ksawery,3,,
Kuzey,3,,
Layton,3,,
Leeroy,3,,
Lloyd,3,,
Lughan,3,,
Luis,3,,
Lukasz,3,,
Maidhc,3,,
Maison,3,,
Maitiu,3,,
Marks,3,,
Markuss,3,,
Mateus,3,,
Matheus,3,,
Matias,3,,
Maximillian,3,,
Maxymilian,3,,
Mazen,3,,
Mihai,3,,
Miley,3,,
Mitchell,3,,
Muiris,3,,
Nicky,3,,
Nikola,3,,
Nolan,3,,
Olivers,3,,
Omer,3,,
Orann,3,,
Paulius,3,,
Pavel,3,,
Praise,3,,
Ralfs,3,,
Raphael,3,,
Rares,3,,
Rayaan,3,,
Rizwan,3,,
Ronaldo,3,,
Ruadh,3,,
Rueben,3,,
Russell,3,,
Ryder,3,,
Ryley,3,,
Salman,3,,
Sawyer,3,,
Seadna,3,,
Seanie,3,,
Simonas,3,,
Sol,3,,
Stan,3,,
Sultan,3,,
Terence,3,,
Thady,3,,
Thor,3,,
Timotei,3,,
Tommy-Lee,3,,
Trevor,3,,
Valentino,3,,
Vladimir,3,,
Witold,3,,
Woody,3,,
Yaman,3,,
Yousuf,3,,
Yu,3,,
Zachariah,3,,
Zakaria,3,,
,,,
,,,
