die
lie
tie
movie
pie
charlie 
christie
underlie
bourgeoisie
currie
auntie
aggie 
brownie
magpie 
reverie
eerie
calorie
vie
nellie 
sortie 
boogie 
bonnie 
nightie
indie 
caddie 
dickie 
billie 
birdie 
collie 
budgie 
monie
genie
junkie 
untie
yuppie
belie
freebie
laddie
prairie
camaraderie
goalie
sweetie
lingerie
coterie
pixie 
hippie
bogie 
rookie
lassie
bonhomie
corrie
bookie
coolie
zombie
mollie
brasserie
faerie1
cookie
dowie
pantie
pardie
papeterie
overlie
passementerie
patisserie
pastie
popsie
pommie
pliskie
plie
premie
potpie
potsie
pinkie
piggie
stogie
perdie
poussie
preemie
preppie
peerie
pattie
patootie
porkpie
outvie
mealie
meanie
meinie
menagerie
microcurie
millicurie
mislie
moggie
mavie
mashie
looie
louie
luckie
luggie
macchie
mamie
mammie
marqueterie
waffie
moxie
nixie
nudie
oldie
oorie
orangerie
organdie
ourie
outlie
niterie
nitchie
multicurie
muskie
nannie
nappie
necktie
newbie
newie
newsie
loggie
tammie
trattorie
trickie
tushie
unsonsie
valkyrie
vauntie
vawntie
veggie
townie
towie
toughie
tassie
tattie
tawie
tawpie
techie
tentie
tittie
tootsie
vegie
vogie
whigmaleerie
whoopie
widdie
wienie
woodie
woolie
yippie
yowie
wheelie
wellie
weirdie
waddie
walkyrie
wallie
wasterie
wastrie
wedgie
weenie
weepie
zowie
talkie
primsie
rotisserie
saltie
scottie
scrapie
seecatchie
sharpie
shavie
sheenie
roomie
roadie
retie
prossie
prostie
punkie
pyxie
quickie
ramie
ramilie
ramillie
sheltie
shortie
staggie
steelie
stoolie
stourie
studdie
stymie
superlie
swabbie
spunkie
specie
spavie
shrewdie
sickie
sinfonie
sinopie
smartie
smoothie
softie
sonsie
swaggie
lezzie
capercailzie
cockamamie
collieshangie
commie
conchie
coontie
cootie
corbie
cosie
civie
chronaxie
chippie
carnie
cattie
causerie
cavie
challie
charcuterie
cheapie
chinoiserie
couthie
cowpie
cutesie
cutie
darkie
dassie
dautie
dawtie
dearie
dexie
curie
cuddie
crummie
cowrie
cozie
cramoisie
crappie
creepie
croppie
crosstie
crowdie
dhootie
capercaillie
accidie
beastie
bheestie
bhistie
biggie
bijouterie
bikie
birkie
bizarrerie
beanie
bawtie
batterie
aerie
amie
anomie
baddie
baggie
bailie
banshie
barmie
blastie
blooie
brulyie
brulzie
brusquerie
buppie
burdie
burnie
byrnie
cabbie
brookie
brie
brawlie
boccie
boiserie
bolshie
boobie
booboisie
bootie
bougie
brassie
cannie
dhurrie
girlie
gussie
hackie
hankie
hawkie
heinie
hempie
hie
hoagie
guidwillie
grushie
grumphie
glassie
goodie
goonie
grannie
greenie
gremmie
grotesquerie
groupie
hogtie
honkie
kiddie
killie
kilocalorie
kiltie
knobkerrie
kookie
koppie
kyrie
kelpie
kebbie
japonaiserie
hoodie
hoolie
howdie
huskie
floosie
intertie
jacquerie
jalousie
lambie
gimmie
diablerie
druggie
duckie
duddie
durrie
espieglerie
eyrie
falsie
fantasie
doxie
dovekie
dormie
didie
dobie
doggie
dogie
dominie
donsie
doolie
doozie
farcie
feirie
footsie
forecaddie
gaucherie
gawsie
gendarmerie
ghillie
ghoulie
gie
footie
foodie
folkie
feminie
ferlie
fie
flanerie
flooie
floozie
flossie
fogie
gillie
